Y,n,d,t_tib_raw,t_de_tt,diff_hours,k
1400,-7263,30,2232433.456880477,2232433.1071783146,8.392851892858744,4
1400,-7262,30,2232463.2259397847,2232462.880688287,8.28603594750166,5
1400,-7261,30,2232492.9512179983,2232492.606094894,8.282954502850771,6
1400,-7260,30,2232522.621844866,2232522.2338229283,9.312526501715183,7
1400,-7259,30,2232552.182489896,2232551.7428485714,10.551391795277596,8
1400,-7258,30,2232581.621483264,2232581.1479267147,11.365357182919979,9
1400,-7257,30,2232610.9677537386,2232610.489303249,11.482811752706766,10
1400,-7256,30,2232640.2687130705,2232639.81529458,10.882043771445751,11
1400,-7255,30,2232669.5956536075,2232669.1671642317,10.283745020627975,12
1400,-7254,30,2232698.960653846,2232698.5710173906,9.35127493366599,13
1400,-7253,30,2232728.386883651,2232728.039270961,8.342704553157091,14
1400,-7252,30,2232757.9193639494,2232757.5789568876,8.16976948454976,15
1401,-7251,30,2232787.554770095,2232787.1956146522,8.61973062157631,16
1401,-7250,30,2232817.2575950986,2232816.8835025337,8.97822155803442,17
1401,-7249,30,2232846.986894871,2232846.611133835,9.01826487109065,18
1401,-7248,30,2232876.6890387563,2232876.324430081,8.750608205795288,19
1401,-7247,30,2232906.354366721,2232905.972618564,9.161955770105124,20
1401,-7246,30,2232935.954374462,2232935.533027949,10.112316314131021,21
1401,-7245,30,2232965.4647983755,2232965.0142423674,10.813344195485115,22
1401,-7244,30,2232994.895748626,2232994.442471224,10.878657650202513,23
1401,-7243,30,2233024.2811014666,2233023.845897362,10.444898508489132,24
1401,-7242,30,2233053.6471243696,2233053.2461174023,9.62416721507907,25
1401,-7241,30,2233083.0340151554,2233082.658561402,9.010890081524849,26
1401,-7240,30,2233112.4659308167,2233112.0978835514,8.83313436806202,27
1401,-7239,30,2233141.951336962,2233141.580721136,8.894779823720455,28
1402,-7238,30,2233171.501948825,2233171.120431089,9.156425669789314,29
1402,-7237,30,2233201.1090796804,2233200.7168519874,9.41346463188529,30
1402,-7236,30,2233230.7486929647,2233230.3522240426,9.515254128724337,31
1402,-7235,30,2233260.418401803,2233259.999759239,10.047421529889107,32
1402,-7234,30,2233290.053132753,2233289.6363529963,10.002714157104492,33
1402,-7233,30,2233319.656022907,2233319.2474958575,9.80464918166399,34
1402,-7232,30,2233349.2299388843,2233348.824089736,9.740379553288221,35
1402,-7231,30,2233378.765017303,2233378.3593507884,9.73599635437131,36
1402,-7230,30,2233408.2558348835,2233407.8512939652,9.708982039242983,37
1402,-7229,30,2233437.701911881,2233437.3077952876,9.458798244595528,38
1402,-7228,30,2233467.1305107926,2233466.7464943924,9.216393604874611,39
1402,-7227,30,2233496.582824464,2233496.1869710227,9.500482589006424,40
1403,-7226,30,2233526.043098334,2233525.6416334985,9.63515605777502,41
1403,-7225,30,2233555.5098201237,2233555.1138253305,9.50387503579259,42
1403,-7224,30,2233585.0016978793,2233584.6047707493,9.52625111863017,43
1403,-7223,30,2233614.546971355,2233614.121724476,10.205925095826387,44
1403,-7222,30,2233644.128845557,2233643.677782876,10.825504347682,45
1403,-7221,30,2233673.7334908242,2233673.281702319,10.842924121767282,46
1403,-7220,30,2233703.3343909285,2233702.9254689733,9.814126923680305,47
1403,-7219,30,2233732.951708943,2233732.581046471,8.895899333059788,48
1403,-7218,30,2233762.5773938536,2233762.2128193104,8.749789036810398,49
1403,-7217,30,2233792.1756839915,2233791.797625927,9.073393553495407,50
1403,-7216,30,2233821.720896265,2233821.3339780993,9.286035977303982,51
1403,-7215,30,2233851.230184982,2233850.8325846544,9.542407862842083,52
1404,-7214,30,2233880.6997181117,2233880.300262897,9.586925156414509,53
1404,-7213,30,2233910.1495442204,2233909.735503186,9.936984825879335,54
1404,-7212,30,2233939.563300678,2233939.139846796,10.162893164902925,55
1404,-7211,30,2233968.9668107484,2233968.530942002,10.460849918425083,56
1404,-7210,30,2233998.402441959,2233997.9429559372,11.02766451984644,57
1404,-7209,30,2234027.886355567,2234027.413896848,11.339009251445532,58
1404,-7208,30,2234057.4201921793,2234056.968095933,10.850309908390045,59
1404,-7207,30,2234087.017236562,2234086.6035617515,9.92819545045495,60
1404,-7206,30,2234116.6556988554,2234116.292770997,8.710268598049879,61
1404,-7205,30,2234146.3399322927,2234145.99721688,8.225169908255339,62
1404,-7204,30,2234176.0218637483,2234175.6830588407,8.131317783147097,63
1404,-7203,30,2234205.683365606,2234205.3251297465,8.59766062349081,64
1404,-7202,30,2234235.283718841,2234234.9025900834,9.147090185433626,65
1405,-7201,30,2234264.8092043516,2234264.399658115,9.82910967618227,66
1405,-7200,30,2234294.246039858,2234293.8148079934,10.349564753472805,67
1405,-7199,30,2234323.6291993004,2234323.1674504154,11.081973239779472,68
1405,-7198,30,2234352.9797716783,2234352.4943367164,11.650439087301493,69
1405,-7197,30,2234382.3213138105,2234381.8390800045,11.573611345142126,70
1405,-7196,30,2234411.6964696203,2234411.2411623066,10.92737552896142,71
1405,-7195,30,2234441.160068137,2234440.728295338,10.362547181546688,72
1405,-7194,30,2234470.722484075,2234470.313269785,9.821142956614494,73
1405,-7193,30,2234500.3850619015,2234499.9930290277,9.408788971602917,74
1405,-7192,30,2234530.0896933493,2234529.7454967424,8.260718565434217,75
1405,-7191,30,2234559.836613354,2234559.5248289024,7.482826832681894,76
1405,-7190,30,2234589.5820052847,2234589.266725453,7.566715959459543,77
1406,-7189,30,2234619.2716442347,2234618.912719472,8.614194307476282,78
1406,-7188,30,2234648.8475364414,2234648.4372042473,9.8479726575315,79
1406,-7187,30,2234678.310114268,2234677.8523598863,10.986105166375637,80
1406,-7186,30,2234707.6781825004,2234707.192699532,11.65159124135971,81
1406,-7185,30,2234737.001391694,2234736.4980683457,12.079760357737541,82
1406,-7184,30,2234766.2850486487,2234765.805504901,11.509049948304892,83
1406,-7183,30,2234795.5912397583,2234795.149373923,10.604780048131943,84
1406,-7182,30,2234824.9775619586,2234824.5645378386,9.912578880786896,85
1406,-7181,30,2234854.496964787,2234854.0856007626,9.87273658812046,86
1406,-7180,30,2234884.1299998513,2234883.7356216465,9.46507691591978,87
1406,-7179,30,2234913.8543797787,2234913.5042587994,8.402903504669666,88
1406,-7178,30,2234943.625926649,2234943.3323870837,7.044949572533369,89
1406,-7177,30,2234973.4208566044,2234973.130698835,6.963786464184523,90
1407,-7176,30,2235003.1670224434,2235002.826958044,8.16154558584094,91
1407,-7175,30,2235032.8116641566,2235032.3954275427,9.989678733050823,92
1407,-7174,30,2235062.3150853855,2235061.8482027263,11.205183818936348,93
1407,-7173,30,2235091.71400926,2235091.213161633,12.02034304663539,94
1407,-7172,30,2235121.013310217,2235120.521506104,11.803298704326153,95
1407,-7171,30,2235150.2795542367,2235149.807074829,11.339505784213543,96
1407,-7170,30,2235179.546793281,2235179.10987741,10.485980909317732,97
1407,-7169,30,2235208.8890264025,2235208.476501901,9.900588031858206,98
1407,-7168,30,2235238.346962754,2235237.952582603,9.465123631060123,99
1407,-7167,30,2235267.933861437,2235267.5654443456,8.84201018884778,100
1407,-7166,30,2235297.637515628,2235297.303442804,8.017747767269611,101
1407,-7165,30,2235327.4266827307,2235327.1112700026,7.56990547478199,102
1408,-7164,30,2235357.2216126854,2235356.913682799,7.390317276120186,103
1408,-7163,30,2235386.989179456,2235386.6478543184,8.191803306341171,104
1408,-7162,30,2235416.6667162185,2235416.277522872,9.340640310198069,105
1408,-7161,30,2235446.2427288555,2235445.79085722,10.844919249415398,106
1408,-7160,30,2235475.67666418,2235475.1966902777,11.519373659044504,107
1408,-7159,30,2235505.0059639527,2235504.5225115833,11.602856867015362,108
1408,-7158,30,2235534.274059824,2235533.810606731,11.122874233871698,109
1408,-7157,30,2235563.5616968786,2235563.1108397637,10.820570759475231,110
1408,-7156,30,2235592.8908762215,2235592.471002771,10.076962810009718,111
1408,-7155,30,2235622.3047234947,2235621.9260290405,9.088666900992393,112
1408,-7154,30,2235651.826313799,2235651.48931076,8.088072929531336,113
1408,-7153,30,2235681.48568346,2235681.1514009903,8.022779267281294,114
1409,-7152,30,2235711.2283647377,2235710.885823702,8.220984857529402,115
1409,-7151,30,2235741.006945881,2235740.6533339685,8.486685901880264,116
