decimal_year,year,month,sample_date,tai_utc,ut1_utc,delta_t_seconds
1972.04166667,1972,1,1972-01-15,10,-0.0861595,42.2701595
1972.12500000,1972,2,1972-02-15,10,-0.1890314,42.3730314
1972.20833333,1972,3,1972-03-15,10,-0.2872767,42.4712767
1972.29166667,1972,4,1972-04-15,10,-0.3975619,42.5815619
1972.37500000,1972,5,1972-05-15,10,-0.5009773,42.6849773
1972.45833333,1972,6,1972-06-15,10,-0.5972967,42.7812967
1972.54166667,1972,7,1972-07-15,11,0.3253726,42.8586274
1972.62500000,1972,8,1972-08-15,11,0.2452079,42.9387921
1972.70833333,1972,9,1972-09-15,11,0.1637230,43.0202770
1972.79166667,1972,10,1972-10-15,11,0.0657940,43.1182060
1972.87500000,1972,11,1972-11-15,11,-0.0325392,43.2165392
1972.95833333,1972,12,1972-12-15,11,-0.1340125,43.3180125
1973.04166667,1973,1,1973-01-15,12,0.7653050,43.4186950
1973.12500000,1973,2,1973-02-15,12,0.6663255,43.5176745
1973.20833333,1973,3,1973-03-15,12,0.5728156,43.6111844
1973.29166667,1973,4,1973-04-15,12,0.4596818,43.7243182
1973.37500000,1973,5,1973-05-15,12,0.3582797,43.8257203
1973.45833333,1973,6,1973-06-15,12,0.2678286,43.9161714
1973.54166667,1973,7,1973-07-15,12,0.1963743,43.9876257
1973.62500000,1973,8,1973-08-15,12,0.1190738,44.0649262
1973.70833333,1973,9,1973-09-15,12,0.0327283,44.1512717
1973.79166667,1973,10,1973-10-15,12,-0.0583805,44.2423805
1973.87500000,1973,11,1973-11-15,12,-0.1595283,44.3435283
1973.95833333,1973,12,1973-12-15,12,-0.2539163,44.4379163
1974.04166667,1974,1,1974-01-15,13,0.6611475,44.5228525
1974.12500000,1974,2,1974-02-15,13,0.5799802,44.6040198
1974.20833333,1974,3,1974-03-15,13,0.4978518,44.6861482
1974.29166667,1974,4,1974-04-15,13,0.4052663,44.7787337
1974.37500000,1974,5,1974-05-15,13,0.3051746,44.8788254
1974.45833333,1974,6,1974-06-15,13,0.2211077,44.9628923
1974.54166667,1974,7,1974-07-15,13,0.1584568,45.0255432
